FileName,NWorksheets,NFunctions,NUniqueFunctions,Ncells,NNonEmptyCells,Nformulas,NUniqueFormulas,NRelatedWorksheets,NErrorCells,NNamedRanges,NUDFs, NFormulasReferring,NFormulasReferred,NFormulasOnce,NFormulasMore,NFormulasMost,NFunctionUsingList9
albert_meyers__1__1-25act.xls,14,124,13,6979,6795,534,149,5,7,3,0,137,226,98,84,27,5
albert_meyers__2__1-29act.xls,14,129,13,7089,6906,535,150,5,17,3,0,137,227,99,84,27,5
andrea_ring__10__ENRONGAS(1200).xls,4,28,9,1037,1033,122,32,2,6,0,0,28,25,22,14,31,1
andrea_ring__11__ENRONGAS(0101).xls,4,24,9,1036,1032,120,29,2,6,0,0,27,23,19,13,31,1
andrea_ring__12__ENRONGAS(1200).xls,4,28,9,1037,1033,122,32,2,6,0,0,28,25,22,14,31,1
andrea_ring__13__Trader & Products 5-15-01 EM.xls,3,0,0,162,162,0,0,0,0,0,0,0,0,0,0,0,0
andrea_ring__14__Trader & Products 5-16-01 EM.xls,3,0,0,162,162,0,0,0,0,0,0,0,0,0,0,0,0
andrea_ring__15__IFERCnov.xls,1,8,4,404,403,24,8,0,0,0,0,7,9,3,5,9,0
andrea_ring__16__ifercdec.xls,1,8,4,428,427,28,8,0,0,0,0,7,9,3,5,13,0
andrea_ring__17__IFERCJan.xls,1,5,3,389,388,22,5,0,0,0,0,4,3,1,4,12,0
andrea_ring__18__IFERCFeb.xls,1,7,3,189,189,31,7,0,0,0,0,7,8,0,7,11,0
andrea_ring__19__ENRONGAS(0101).xls,4,24,9,1036,1032,120,29,2,6,0,0,27,23,19,13,31,1
andrea_ring__20__ENRONGAS(1200).xls,4,28,9,1037,1033,122,32,2,6,0,0,28,25,22,14,31,1
andrea_ring__21__ENRONGAS(0101).xls,4,24,9,1036,1032,120,29,2,6,0,0,27,23,19,13,31,1
andrea_ring__22__ENRONGAS(1200).xls,4,28,9,1037,1033,122,32,2,6,0,0,28,25,22,14,31,1
andrea_ring__23__Trader & Products 5-15-01 EM.xls,3,0,0,162,162,0,0,0,0,0,0,0,0,0,0,0,0
andrea_ring__24__Trader & Products 5-16-01 EM.xls,3,0,0,162,162,0,0,0,0,0,0,0,0,0,0,0,0
andrea_ring__25__IFERCnov.xls,1,8,4,404,403,24,8,0,0,0,0,7,9,3,5,9,0
andrea_ring__26__ifercdec.xls,1,8,4,428,427,28,8,0,0,0,0,7,9,3,5,13,0
andrea_ring__27__IFERCJan.xls,1,5,3,389,388,22,5,0,0,0,0,4,3,1,4,12,0
andrea_ring__28__IFERCFeb.xls,1,6,3,189,189,19,6,0,0,0,0,6,6,0,6,5,0
andrea_ring__29__ENRONGAS(0101).xls,4,24,9,1036,1032,120,29,2,6,0,0,27,23,19,13,31,1
andrea_ring__3__HHmonthlyavg.xls,3,5,2,5177,5160,27,5,0,0,0,0,5,26,3,2,22,0
andrea_ring__30__ENRONGAS(1200).xls,4,28,9,1037,1033,122,32,2,6,0,0,28,25,22,14,31,1
andrea_ring__31__ENRONGAS(0101).xls,4,24,9,1036,1032,120,29,2,6,0,0,27,23,19,13,31,1
