Row Labels, NWorksheets, NFormulas, NRelatedWorksheets, NErrorCells, NNamedRanges, NFormulasReferring, NFormulasReferred, NFormulasOnce, NFormulasMore, NFormulasMost, NFunctions, NUDF, NFunctionsUsingList9
10_Daily PR Report for October 2005.xls,22,1,0,0,0,1,0,1,0,1,1,0,0
1000_Subscription Report 8-07-06.xls,2,11,0,0,0,6,2,4,2,4,5,0,0
100007_China Outward Investment.xls,5,103,0,0,0,2,2,0,2,98,2,0,0
100012_Croatia Energy Imports.xls,4,6,0,0,0,6,6,6,0,1,7,0,0
100022_Europe GDP fourth quarter.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
100025_100226-datamonitoring.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
100027_MORE IRAN OIL.xls,1,1,0,0,0,1,0,1,0,1,1,0,0
100030_CI china data.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
"100041_econ - world stock of external investment, 2008.xls",1,229,0,0,0,1,0,0,1,229,1,0,0
100043_Nuclear Trade Data.xls,14,0,0,0,0,0,0,0,0,0,0,0,0
100060_ven protests .xls,1,0,0,0,0,0,0,0,0,0,0,0,0
100062_Turkey Crude Imports Iran.xls,1,2,0,0,0,1,2,0,1,2,1,0,0
100075_wage growth - 2009.xlsx,2,26,0,0,0,1,2,0,1,26,2,0,0
100076_eu.econ - historic bond spreads - full set - 1987 to 2009.xls.xlsx,2,0,0,0,0,0,0,0,0,0,0,0,0
100082_ven protests .xls,1,0,0,0,0,0,0,0,0,0,0,0,0
100086_venezuela ct by municipality.xlsx,3,0,0,0,0,0,0,0,0,0,0,0,0
100087_venezuela ct by state.xlsx,3,0,0,0,0,0,0,0,0,0,0,0,0
100094_IRAN - inflation.xls,2,1,0,0,0,1,2,1,0,1,1,0,0
100096_H0813e Outstanding of external debts.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
100097_H0809e Outstanding Debts of Central Govt.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
100098_H0805e Main It.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
100099_H0814e Risk Indicators on external debts.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
100100_H0807e Govt revenue by region.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
100101_H0806e Main It.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
100102_H0801e Nationa.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
100103_H0811e Extra budgetry Exp by item.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
100104_H0808e Govt Exp by region.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
100105_H0804e Nationa.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
100106_H0812e Total E.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
100107_H0802e Taxes.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
100108_H0810e Extra Budgetry Revenue by item.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
100109_H0803e Nationa.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
100112_I0812E.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
100119_Europe Budget.xls,14,0,0,0,0,0,0,0,0,0,0,0,0
100123_Europe Budget.xls,14,0,0,0,0,0,0,0,0,0,0,0,0
100124_egypt - timeline.xlsx,1,0,0,0,0,0,0,0,0,0,0,0,0
100146_French Budget.xls,7,0,0,0,0,0,0,0,0,0,0,0,0
100153_Brazil Ports Trade.xls,3,1,0,0,0,1,0,1,0,1,1,0,0
100154_European Natural Gas.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
100156_National Oil Companies.xls,5,3,0,0,0,1,1,0,1,3,0,0,0
